batch,case,version,sample,seconds,output_tokens_per_second
16,b1,new,3,1.3447945304214954,1522.9092278937962
16,b1,new,4,1.3499848553910851,1517.054055696575
16,b1,new,5,1.345798784866929,1521.772811083719
16,b1,new,6,1.3448086455464363,1522.8932434233689
16,b1,new,7,1.346752654761076,1520.694978962808
16,b1,new,8,1.3447597036138177,1522.9486684471144
16,b1,new,9,1.3451750772073865,1522.478400545224
16,b1,new,10,1.3460598457604647,1521.4776716283145
16,b1,new,11,1.3471531504765153,1520.242890925639
16,b1,new,12,1.347350336611271,1520.0204017842436
16,b1,new,13,1.346063875593245,1521.4731166434383
16,b1,new,14,1.3464454347267747,1521.0419577200223
16,b2,new,0,1.3550656950101256,1511.3658382331762
16,b2,new,1,1.3478642106056213,1519.440893144417
16,b2,new,2,1.3458572132512927,1521.7067455859496
16,b2,new,3,1.345442277379334,1522.1760416129594
16,b2,new,4,1.3450986165553331,1522.5649441560865
16,b2,new,5,1.3464578436687589,1521.027939812594
16,b2,new,6,1.3452809443697333,1522.3585887923894
16,b2,new,7,1.3461887883022428,1521.3319393209717
16,b2,new,8,1.3448813492432237,1522.8109164815373
16,b2,new,9,1.3449951857328415,1522.682030184454
16,b2,new,10,1.3466771859675646,1520.780199843177
16,b2,new,11,1.3460610108450055,1521.4763547116963
16,b2,new,12,1.3462783945724368,1521.2306817494625
16,b2,new,13,1.3519923919811845,1514.8014235486185
16,b2,new,14,1.3489717617630959,1518.1933811003423
16,a2,old,0,1.3973737685009837,1465.6064441491326
16,a2,old,1,1.3975741332396865,1465.396325884034
16,a2,old,2,1.39808608032763,1464.8597313264631
16,a2,old,3,1.3973681703209877,1465.612315707432
16,a2,old,4,1.3978338204324245,1465.1240870437978
16,a2,old,5,1.3979189489036798,1465.034866010041
16,a2,old,6,1.3988824104890227,1464.0258428040838
16,a2,old,7,1.398469035513699,1464.4585957870058
16,a2,old,8,1.3999070301651955,1462.9542932992676
16,a2,old,9,1.3984705656766891,1464.4569934219658
16,a2,old,10,1.3982597030699253,1464.6778388188893
16,a2,old,11,1.4008132452145219,1462.0078779212051
16,a2,old,12,1.3980943718925118,1464.85104380168
16,a2,old,13,1.399384724907577,1463.5003252127544
16,a2,old,14,1.3992318166419864,1463.66025675073
